video_id,window_config,window_lead,window_tail,window_total,audio_threshold,visual_threshold,top_percentile,true_peaks,duration_secs,ai_windows_after_audio,ai_windows_after_visual,recall_pct,noise_pct,pruned_pct,rand_recall_pct,rand_noise_pct,rand_pruned_pct,uniform_recall_pct,uniform_noise_pct,uniform_pruned_pct,recall_delta_vs_random,recall_delta_vs_uniform
GxLa6rdww8g,minimal_20s,15,5,20,0.5,150,0.15,14,3791,91,73,50.0,90.4,48.8,28.6,93.2,61.5,21.4,95.9,61.5,21.4,28.6
pjSxOnCkHIA,original_60s,45,15,60,0.5,150,0.15,13,820,1,1,100.0,0.0,0.2,0.0,100.0,92.7,46.2,0.0,92.7,100.0,53.8
pjSxOnCkHIA,compact_40s,30,10,40,0.5,150,0.15,13,820,2,2,100.0,0.0,2.9,15.4,50.0,90.2,0.0,100.0,90.2,84.6,100.0
pjSxOnCkHIA,tight_25s,20,5,25,0.5,150,0.15,13,820,15,13,84.6,76.9,28.5,46.2,69.2,60.4,46.2,76.9,60.4,38.4,38.4
pjSxOnCkHIA,minimal_20s,15,5,20,0.5,150,0.15,13,820,22,17,38.5,88.2,47.6,46.2,70.6,58.5,46.2,82.4,58.5,-7.7,-7.7
g1T8-WSYcdI,original_60s,45,15,60,0.5,150,0.15,13,603,3,3,100.0,0.0,4.1,38.5,33.3,70.1,23.1,66.7,70.1,61.5,76.9
g1T8-WSYcdI,compact_40s,30,10,40,0.5,150,0.15,13,603,5,5,92.3,40.0,13.1,46.2,40.0,66.8,46.2,60.0,66.8,46.1,46.1
g1T8-WSYcdI,tight_25s,20,5,25,0.5,150,0.15,13,603,9,8,53.8,62.5,37.1,53.8,37.5,66.8,38.5,75.0,66.8,0.0,15.3
g1T8-WSYcdI,minimal_20s,15,5,20,0.5,150,0.15,13,603,15,14,53.8,78.6,41.7,53.8,64.3,53.6,61.5,64.3,53.6,0.0,-7.7
0guSWBSO8lo,original_60s,45,15,60,0.5,150,0.15,13,461,5,2,0.0,100.0,71.6,38.5,50.0,74.0,7.7,50.0,74.0,-38.5,-7.7
