video_id,audio_threshold,visual_threshold,top_percentile,true_peaks,ai_windows_after_audio,ai_windows_after_visual,captured,missed,recall_pct,noise_pct,pruned_pct
wQA68Oqr1qE,0.8,150,0.1,9,1,0,0,9,0.0,0.0,100.0
wQA68Oqr1qE,0.8,150,0.15,13,1,0,0,13,0.0,0.0,100.0
wQA68Oqr1qE,0.8,200,0.05,4,1,0,0,4,0.0,0.0,100.0
wQA68Oqr1qE,0.8,200,0.1,9,1,0,0,9,0.0,0.0,100.0
wQA68Oqr1qE,0.8,200,0.15,13,1,0,0,13,0.0,0.0,100.0
wQA68Oqr1qE,0.8,250,0.05,4,1,0,0,4,0.0,0.0,100.0
wQA68Oqr1qE,0.8,250,0.1,9,1,0,0,9,0.0,0.0,100.0
wQA68Oqr1qE,0.8,250,0.15,13,1,0,0,13,0.0,0.0,100.0
wQA68Oqr1qE,0.8,300,0.05,4,1,0,0,4,0.0,0.0,100.0
wQA68Oqr1qE,0.8,300,0.1,9,1,0,0,9,0.0,0.0,100.0
wQA68Oqr1qE,0.8,300,0.15,13,1,0,0,13,0.0,0.0,100.0
wQA68Oqr1qE,0.8,350,0.05,4,1,0,0,4,0.0,0.0,100.0
wQA68Oqr1qE,0.8,350,0.1,9,1,0,0,9,0.0,0.0,100.0
wQA68Oqr1qE,0.8,350,0.15,13,1,0,0,13,0.0,0.0,100.0
8PtsKRBgLrA,0.4,150,0.05,4,2,2,4,0,100.0,50.0,5.5
8PtsKRBgLrA,0.4,150,0.1,9,2,2,9,0,100.0,50.0,5.5
8PtsKRBgLrA,0.4,150,0.15,13,2,2,13,0,100.0,50.0,5.5
8PtsKRBgLrA,0.4,200,0.05,4,2,2,4,0,100.0,50.0,5.5
8PtsKRBgLrA,0.4,200,0.1,9,2,2,9,0,100.0,50.0,5.5
8PtsKRBgLrA,0.4,200,0.15,13,2,2,13,0,100.0,50.0,5.5
8PtsKRBgLrA,0.4,250,0.05,4,2,2,4,0,100.0,50.0,5.5
8PtsKRBgLrA,0.4,250,0.1,9,2,2,9,0,100.0,50.0,5.5
8PtsKRBgLrA,0.4,250,0.15,13,2,2,13,0,100.0,50.0,5.5
8PtsKRBgLrA,0.4,300,0.05,4,2,2,4,0,100.0,50.0,5.5
8PtsKRBgLrA,0.4,300,0.1,9,2,2,9,0,100.0,50.0,5.5
8PtsKRBgLrA,0.4,300,0.15,13,2,2,13,0,100.0,50.0,5.5
8PtsKRBgLrA,0.4,350,0.05,4,2,2,4,0,100.0,50.0,5.5
8PtsKRBgLrA,0.4,350,0.1,9,2,2,9,0,100.0,50.0,5.5
