audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,window_total,mean_recall,std_recall,mean_noise,std_noise,mean_pruned,std_pruned,mean_recall_delta_vs_random,mean_recall_delta_vs_uniform,n_videos
0.8,200,0.15,30,10,40,9.44,14.48,44.99,40.01,88.56,12.6,-3.22,-2.4,32
0.8,250,0.1,30,10,40,9.37,14.98,45.77,40.46,89.3,11.67,-7.6,-3.56,32
0.8,250,0.15,30,10,40,8.78,13.73,42.28,39.33,89.3,11.67,-3.88,-2.85,32
0.8,300,0.1,30,10,40,8.68,14.89,47.85,41.47,89.99,11.54,-6.9,-4.25,32
0.8,350,0.1,30,10,40,8.68,14.89,44.73,41.19,90.13,11.63,-6.9,-4.6,32
0.8,150,0.05,20,5,25,8.59,18.34,66.13,43.29,91.63,10.55,-6.25,-6.25,32
0.8,300,0.15,30,10,40,8.09,13.85,45.14,41.36,89.99,11.54,-3.66,-3.53,32
0.8,350,0.15,30,10,40,8.09,13.85,42.02,40.87,90.13,11.63,-3.66,-3.98,32
0.8,150,0.05,15,5,20,7.81,15.86,66.61,43.44,93.2,8.63,-4.69,-7.81,32
0.8,200,0.05,20,5,25,7.81,18.15,63.17,44.46,92.3,8.71,-6.25,-6.25,32
0.8,250,0.05,20,5,25,7.81,18.15,60.05,45.26,92.55,8.35,-6.25,-7.03,32
0.8,300,0.05,20,5,25,7.81,18.15,60.05,45.26,93.07,7.68,-5.47,-5.47,32
0.8,350,0.05,20,5,25,7.81,18.15,60.05,45.26,93.28,7.63,-5.47,-5.47,32
0.8,150,0.1,20,5,25,7.29,15.87,61.46,44.1,91.63,10.55,-7.24,-5.03,32
0.8,150,0.15,20,5,25,7.04,13.46,56.67,42.37,91.63,10.55,-4.18,-2.91,32
0.8,200,0.05,15,5,20,7.03,15.61,63.62,44.61,93.82,6.85,-4.69,-7.03,32
0.8,250,0.05,15,5,20,7.03,15.61,63.62,44.61,94.03,6.57,-4.69,-6.25,32
0.8,300,0.05,15,5,20,7.03,15.61,63.62,44.61,94.4,6.21,-3.91,-5.47,32
0.8,350,0.05,15,5,20,7.03,15.61,63.62,44.61,94.52,6.2,-3.91,-5.47,32
0.8,200,0.15,20,5,25,6.37,11.73,53.66,42.77,92.3,8.71,-4.63,-2.9,32
0.8,150,0.1,15,5,20,6.25,12.71,62.32,44.16,93.2,8.63,-6.51,-6.42,32
0.8,200,0.1,20,5,25,6.25,13.59,58.63,44.93,92.3,8.71,-7.94,-5.03,32
0.8,250,0.1,20,5,25,6.25,13.59,55.41,45.36,92.55,8.35,-7.94,-6.07,32
0.8,250,0.15,20,5,25,6.14,11.37,50.63,42.97,92.55,8.35,-4.85,-3.58,32
0.8,300,0.1,20,5,25,5.9,13.32,55.41,45.36,93.07,7.68,-7.94,-5.03,32
0.8,150,0.15,15,5,20,5.89,9.97,57.82,42.57,93.2,8.63,-3.64,-4.0,32
0.8,300,0.15,20,5,25,5.68,11.17,51.1,43.53,93.07,7.68,-5.08,-3.15,32
0.8,200,0.1,15,5,20,5.55,11.79,59.36,45.03,93.82,6.85,-6.86,-6.07,32
0.8,250,0.1,15,5,20,5.55,11.79,59.32,44.99,94.03,6.57,-6.86,-5.38,32
0.8,350,0.1,20,5,25,5.55,13.32,56.03,45.83,93.28,7.63,-8.29,-5.38,32
0.8,350,0.15,20,5,25,5.46,11.07,51.31,43.58,93.28,7.63,-5.3,-3.37,32
0.8,200,0.15,15,5,20,5.44,9.23,54.76,43.07,93.82,6.85,-3.64,-3.56,32
0.8,250,0.15,15,5,20,5.22,9.1,54.96,43.22,94.03,6.57,-3.87,-3.33,32
0.8,300,0.1,15,5,20,5.21,11.78,59.6,45.22,94.4,6.21,-6.86,-5.03,32
0.8,350,0.1,15,5,20,5.21,11.78,59.6,45.22,94.52,6.2,-6.86,-5.03,32
0.8,300,0.15,15,5,20,4.76,9.17,56.02,44.06,94.4,6.21,-4.09,-3.35,32
0.8,350,0.15,15,5,20,4.76,9.17,56.02,44.06,94.52,6.2,-4.09,-3.35,32
