audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,window_total,mean_recall,std_recall,mean_noise,std_noise,mean_pruned,std_pruned,mean_recall_delta_vs_random,mean_recall_delta_vs_uniform,n_videos
0.5,300,0.15,45,15,60,45.78,39.43,25.23,34.31,56.1,36.24,27.24,25.16,32
0.5,350,0.15,45,15,60,45.78,39.43,25.12,34.17,56.21,36.22,27.47,24.27,32
0.4,350,0.15,20,5,25,45.69,35.6,59.61,29.51,51.59,31.74,18.88,16.66,32
0.5,150,0.15,20,5,25,45.53,30.94,59.78,23.93,60.62,27.49,22.55,16.86,32
0.4,150,0.1,15,5,20,45.44,30.17,79.55,22.72,52.1,27.78,14.55,8.63,32
0.4,150,0.05,15,5,20,45.31,37.73,89.98,17.48,52.1,27.78,14.06,13.28,32
0.4,250,0.05,20,5,25,45.31,38.75,80.29,27.49,48.68,30.52,14.06,17.97,32
0.4,250,0.15,15,5,20,45.21,28.5,65.6,26.97,54.58,27.07,17.26,11.78,32
0.4,300,0.1,20,5,25,45.01,34.95,67.98,29.45,50.39,30.87,14.46,16.63,32
0.5,150,0.1,20,5,25,44.79,33.39,70.5,25.22,60.62,27.49,19.07,18.2,32
0.4,300,0.05,30,10,40,44.53,43.18,56.68,39.74,48.5,36.59,21.09,27.34,32
0.5,200,0.15,20,5,25,44.42,30.21,58.82,24.33,62.33,26.41,21.43,17.28,32
0.4,200,0.1,15,5,20,44.4,29.21,76.34,26.27,53.31,27.04,14.2,10.73,32
0.5,300,0.05,30,10,40,43.75,38.53,61.32,37.62,57.42,32.47,19.53,21.09,32
0.5,300,0.1,45,15,60,43.7,39.75,32.83,34.12,56.1,36.24,20.92,20.63,32
0.5,350,0.1,45,15,60,43.7,39.75,32.77,34.03,56.21,36.22,21.27,19.24,32
0.5,200,0.1,20,5,25,43.06,32.48,70.52,25.28,62.33,26.41,17.33,18.54,32
0.4,200,0.05,15,5,20,42.97,36.57,87.08,23.39,53.31,27.04,12.5,12.5,32
0.4,300,0.05,20,5,25,42.97,39.15,80.94,27.74,50.39,30.87,12.5,20.31,32
0.4,350,0.05,30,10,40,42.97,42.04,56.86,39.86,49.28,36.07,19.53,24.22,32
0.5,150,0.05,20,5,25,42.97,39.15,80.11,27.61,60.62,27.49,17.19,15.62,32
0.4,350,0.1,20,5,25,42.92,36.43,71.08,29.71,51.59,31.74,13.42,15.59,32
0.4,300,0.15,15,5,20,42.73,29.34,67.64,28.06,56.31,27.78,15.01,11.07,32
0.4,250,0.1,15,5,20,42.67,29.35,73.26,29.19,54.58,27.07,12.47,11.42,32
0.4,350,0.15,15,5,20,42.29,29.44,67.55,28.01,56.87,28.11,14.79,10.4,32
0.4,250,0.05,15,5,20,42.19,36.68,84.02,27.73,54.58,27.07,11.72,12.5,32
0.4,350,0.05,20,5,25,42.19,39.74,81.18,27.87,51.59,31.74,12.5,20.31,32
0.5,300,0.05,45,15,60,42.19,40.72,48.6,37.41,56.1,36.24,17.97,19.53,32
0.5,350,0.05,45,15,60,42.19,40.72,48.58,37.38,56.21,36.22,17.97,14.84,32
0.5,350,0.05,30,10,40,42.19,39.74,61.82,38.02,58.78,33.39,17.97,18.75,32
